Counter,Q,Time
5171.939,2605.106,0
5336.307,2671.788,0
5504.284,2759.724,0
5626.483,2892.88,0
5882.279,2963.654,0
6098.995,3103.14,0
6353.879,2542.352,0
6488.488,2589.901,0
6698.563,2093.831,0
7017.466,2199.869,0
7297.503,2294.591,0
7435.354,2398.229,0
7675.772,2513.292,0
7900.737,2666.339,0
7174.519,2773.194,0
7278.081,2798.618,0
7518.916,2053.834,0
7720.136,2800.646,0
7934.821,3197.41,0
8153.536,3338.441,0
8417.266,3408.412,0
8520.211,3561.955,0
8802.358,3726.302,0
9069.103,3818.79,0
9177.307,3968.061,0
8496.291,4110.799,0
9581.586,4272.341,0
10074.73,4432.991,0
10333.75,4607.783,0
10665.2,4810.48,0
11030.53,4911.211,0
11216.34,5077.223,0
11530.71,5310.022,0
11850.97,5457.894,0
12203.47,5718.778,0
12562.97,5718.778,0
12765.7,6042.764,0
13108.45,6265.267,0
13457.33,6453.497,0
13798.23,6683.427,0
14350.24,6881.65,0
14512.84,7095.109,0
14902.17,7269.539,0
15252.54,7469.691,0
15593.03,7664.872,0
16034.07,7863.938,0
16483.74,8100.414,0
16925.53,8495.176,0
17308.29,8817.422,0
17696.98,9133.47,0
18091.59,9366.803,0
18492.18,9662.147,0
15216.35,10128.69,0
9815.544,10483.9,0
6044.311,10913.96,0
3635.549,11480.85,0
2601.021,11864.61,0
1991.094,12021.35,0
1397.279,12435.23,0
1211.772,12788.79,0
1248.792,13322.81,0
1283.904,13631.3,0
1340.457,14053.24,0
1381.393,14663.19,0
1124.823,15146.68,0
1487.712,15775.37,0
1543.772,16005.08,0
602.0743,16561.44,0
1178.05,17240.74,0
1591.726,17434.83,0
1765.856,16331.49,0
1794.765,14648.87,0
1864.673,13910.91,0
1904.246,13878.51,0
1970.024,14286.37,0
2034.049,14982.43,0
2099.715,15412.22,0
2158.938,14604.88,0
2222.307,16510.33,0
2290.099,18676.57,0
2326.845,19224.05,0
2421.963,19532.91,0
2458.26,19896.23,0
2532.322,20231.79,0
2614.833,20761.23,0
2677.476,21173.81,0
2766.787,21525.91,0
2849.191,21691.99,0
1301.537,22312.27,0
1202.52,22725.6,0
1230.496,23160.88,0
1277.514,23562.27,0
1334.942,23781.33,0
1365.718,24272.98,0
1422.512,24749.85,0
1476.863,25223.81,0
1503.589,25631.65,0
1579.251,25968.2,0
1649.099,26519.63,0
1716.307,27079.76,0
1424.757,27822.55,0
1727.628,28092.91,0
1890.959,28863.82,0
1973.365,29378.08,0
2052.545,30054.6,0
2091.565,30415.78,0
2168.206,30954.28,0
2216.048,31749.61,0
2325.303,32234.26,0
2413.154,32684.11,0
2507.729,33229.93,0
2613.455,33859.66,0
2706.506,34465.7,0
2793.872,34895.8,0
2909.659,35570.61,0
3029.417,36408.52,0
3088.53,37131.7,0
3223.809,37638.2,0
3349.185,38004.62,0
3478.482,38963.09,0
3606.549,39622.72,0
3679.903,40153.89,0
3819.281,40678.7,0
3990.931,41173.23,0
4139.546,42007.57,0
4304.581,42732.87,0
4401.319,42595.83,0
4556.063,42974.38,0
2349.009,43617.45,0
2481.932,44267.67,0
2550.418,44986.48,0
2643.833,45441.86,0
2783.632,45851.02,0
2868.009,46968.88,0
2990.191,47567.75,0
3094.825,48069.23,0
3256.71,48822.81,0
3339.883,48675.21,0
3516.602,49451.41,0
3499.186,50809.14,0
3766.452,51608.42,0
3945.978,52046.05,0
4041.127,52888.19,0
4178.864,53572.35,0
4363.72,54675.58,0
4547.123,55492.91,0
4651.22,56217.61,0
4849.8,56553.46,0
5024.505,57300.07,0
5248.842,58076.85,0
5464.24,58963.97,0
5582.062,59938.52,0
5774.138,60755.21,0
6020.499,61816.15,0
