Q,Counter
28334.83,2456.696
28871.31,2553.462
29390.86,2648.655
29964.79,2741.961
30546.23,2791.809
30790.7,2902.917
31532.01,3022.119
32184.08,3135.057
32742.84,3210.423
33153.29,3328.699
33775.42,3445
34431.8,3569.966
34749.92,3709.758
35526.99,3830.416
30177.91,3954.072
25143.24,4056.372
21146.24,4216.698
14921.98,4375.329
11778.65,4453.055
9643.151,2581.575
7501.84,2669.596
6159.289,2782.206
4229.493,2857.428
2696.129,2975.565
2096.854,3113.228
2121.257,3178.267
2187.283,3311.208
2255.363,3436.493
2315.966,3576.923
2356.279,3721.269
2414.82,3794.935
2483.958,3709.211
2547.397,4112.727
2027.753,4251.437
2700.93,4407.077
1669.137,4559.614
2718.337,4737.298
2894.489,4904.924
2960.689,5001.447
3033.479,5175.395
3082.044,5376.995
3161.208,5551.728
3242.216,5734.135
3279.961,5882.553
3381.34,6084.478
3467.378,6291.011
3551.67,6404.817
3615.173,6645.608
3706.594,6846.229
3792.219,7050.828
3875.595,7269.085
3977.036,7501.734
4064.18,7629.883
4161.749,7870.457
4244.025,8121.411
4138.823,8388.396
4179.925,8612.773
4275.978,8885.179
4400.188,9140.899
4505.655,9401.59
4609.459,7570.395
4691.224,7495.316
4802.359,7726.649
4906.358,7962.823
4963.941,8133.04
5105.712,8377.537
4973.621,8626.99
5343.793,8764.188
5437.775,9064.795
5565.502,9328.17
5679.583,9574.258
5745.776,9124.045
5908.834,9700.439
6035.453,10339.56
6164.584,10483.13
6308.33,10823.52
6436.566,11108.75
6567.166,11386.35
6700.149,11681.63
6842.015,11982.14
6979.924,12261.21
7127.051,12558.38
7283.778,12888.2
7429.549,13195.75
7585.003,13379.89
7750.589,13753.54
7934.175,14075.34
8098.966,14402.42
8266.877,14765.31
8391.02,15150.07
8564.556,15541.8
8773.936,15924.52
8880.436,16281.11
9113.956,16494.42
9301.4,16859.84
9492.41,17078.45
8312.325,17573.31
8480.353,17972.94
8651.595,18378.92
8842.157,18809.31
9048.476,18221.98
9229.665,14903.49
9414.181,10649.94
9550.496,7760.222
9732.129,5590.743
9925.722,4777.913
10131.79,3411.181
10369.38,2820.091
10602.55,1880.266
10821.22,1714.94
10956.33,1283.839
11171.73,1329.226
11359.01,1376.304
11696.17,1430.656
11924.58,915.1074
12050.84,1539.332
12285.39,1318.343
12523.91,1443.116
12788.69,1527.389
13030.73,1384.439
13166.6,1569.624
13499.91,1832.253
13781.09,1937.098
14067.19,1999.533
14272.9,2070.668
14567.65,2081.143
14716.94,2186.118
15032.23,2263.119
15379.19,2336.059
15666.87,2372.971
15968.41,2457.785
16242.26,2543.16
16557.21,2581.579
16891.27,2685.528
17046.23,2760.051
17489.2,2858.455
17823.93,2948.719
11173.51,3037.435
7763.733,3132.685
6768.672,3174.929
6840.906,3295.976
6940.293,1419.973
7216.639,1415.951
7443.29,1455.677
7684.653,1513.627
7861.805,1579.164
8112.579,1612.839
