Counter,Q,Time
5624.81,8494.195,0
5915.299,8683.243,0
6147.831,9052.557,0
6358.715,9226.558,0
6579.291,9533.601,0
6809.918,9859.753,0
7050.994,10224.63,0
7323.368,10496.31,0
7576.689,8902.083,0
7835.905,6206.774,0
7986.716,4241.25,0
7312.261,3496.255,0
7613.773,3488.637,0
7762.173,3673.779,0
8054.352,3214.497,0
8262.266,2991.171,0
8506.701,2142.825,0
8874.215,3219.864,0
9183.012,4558.363,0
9351.895,5009.495,0
9684.109,5361.18,0
9859.341,5502.573,0
10322.67,5570.266,0
10665.35,5791.92,0
10891.66,5947.733,0
11240.78,6103.663,0
11556.83,6309.069,0
11927.46,6526.672,0
12320.36,6785.541,0
12527.27,7019.962,0
12911.52,7227.667,0
13296.31,7343.212,0
13851.88,7743.753,0
14262.35,7912.998,0
14522.1,8111.925,0
15132.55,8302.688,0
15560.1,8387.234,0
16080.48,8586.828,0
16336.44,8923.548,0
16821.61,9178.854,0
17059,9395.524,0
17289.73,9781.458,0
17908.44,10012,0
18465.52,10426.51,0
18906.78,10577.71,0
19383.91,10827.24,0
19693.51,11055.29,0
16329.91,11281.95,0
11333.71,11489.08,0
8019.3,11725.49,0
5213.419,11951.28,0
3303.151,12286.57,0
3659.285,12680.39,0
2622.082,13042.29,0
1878.463,13360.58,0
2913.729,13859.04,0
5147.087,14312.32,0
5242.488,14698.88,0
5419.115,15013.97,0
5519.581,15409.01,0
5648.901,15805.79,0
5839.086,16406.04,0
5989.903,16610.07,0
6150.201,12306.29,0
6350.357,7530.322,0
6531.892,6322.005,0
6693.247,4596.109,0
6773.375,3737.493,0
7000.399,3736.522,0
7156.446,3914.238,0
5162.577,3837.941,0
2319.479,2381.273,0
1598.761,1972.54,0
1379.442,3049.63,0
1273.05,5301.141,0
1305.609,5437.546,0
1350.002,5642.045,0
1394.157,5810.487,0
1477.618,5942.851,0
987.7277,6084.242,0
1180.521,6235.053,0
1665.351,6438.894,0
1148.792,6700.107,0
1715.142,6885.241,0
1802.394,7049.509,0
1970.965,7136.573,0
2000.712,7399.694,0
2118.383,7686.838,0
2204.225,7851.928,0
2281.05,6039.082,0
2362.09,5105.917,0
2437.122,5295.539,0
2544.652,5455.924,0
2654.336,5583.997,0
2711.74,5874.737,0
2819.51,6048.783,0
2918.249,6255.188,0
3068.691,4573.67,0
3140.721,5965.406,0
3263.215,6940.5,0
3382.542,7250.734,0
3487.274,7476.229,0
3637.588,7724.366,0
3776.379,8090.722,0
3914.172,8343.342,0
2220.322,8544.079,0
1802.35,8873.89,0
1877.022,9075.975,0
1989.028,9320.758,0
2091.023,9675.883,0
2145.461,9872.993,0
2261.697,10314.38,0
2389.147,10506.31,0
2462.918,10816.4,0
2586.292,10971.54,0
2709.093,11128.56,0
2812.665,11442.49,0
2659.541,11882.28,0
2977.206,12250.1,0
3241.723,12291.92,0
3344.882,12250.82,0
3490.583,12371.31,0
3562.335,12803.35,0
3761.723,13093.43,0
3955.594,13346.28,0
4066.55,13480.27,0
4230.181,13776.31,0
4308.548,14308.2,0
4542.716,14656.77,0
4745.366,14939.12,0
4860.337,14810.17,0
5115.823,15504.39,0
5225.453,15914.27,0
5494.694,16366.41,0
5714.668,16790.28,0
5914.91,17202.69,0
6120.074,17582.04,0
6348.523,18136.16,0
6597.198,18672.24,0
6857.748,19422.16,0
7091.191,19822.28,0
7335.341,20371.28,0
7467.356,20675.63,0
6387.862,21254.04,0
6552.804,21777.31,0
6829.836,22241.14,0
6969.065,22987.87,0
7248.61,23377.73,0
7613.08,24048.24,0
7858.027,24577.65,0
8178.958,24879.96,0
8348.439,25185.11,0
8509.243,26027.56,0
7585.94,26412.53,0
8790.993,27112.04,0
