Q,Counter
33406.99,2888.119
33872.21,2976.035
34384.91,3077.868
34859.66,3170.198
35334.62,3231.566
35861.91,3340.172
36238.74,3442.958
36820.57,3539.391
37181.92,3583.93
37866.32,3715.581
38443.54,3817.999
38980.1,3922.644
39474.7,4034.427
39711.81,4143.673
40333.09,4270.638
40622.19,4343.049
41400.41,4474.693
41966.34,4598.456
42587.73,4741.421
43165.23,4842.296
43748.39,3053.568
44285.94,1502.795
44543.61,1529.528
30447.58,1601.714
28352.73,1671.19
18079.65,1702.771
16016.74,1772.744
12664.56,1842.067
11827.18,1907.671
11150.85,1936.78
10580.16,2029.306
9488.28,1973.499
9654.761,2001.1
9853.296,1400.327
8193.108,2307.695
9680.896,2377.594
8482.97,2456.8
9051.591,2530.793
10069.22,2624.719
9106.229,2672.677
10934.62,2766.806
11197.07,2851.707
10548.91,2946.534
11118.63,3031.399
11790.17,3143.134
11970.4,3240.8
12165.59,3336.172
12349.48,3393.144
12553.39,3482.195
12643.68,3595.98
12859.67,3651.573
13015.03,3788.539
13264.89,3894.916
13471.37,4008.477
13690.02,4134.676
13863.16,4253.315
14096.82,4369.075
14333.72,4438.525
14586.9,4571.607
14817.51,4747.588
15054.11,4827.486
15189.26,2982.741
15420.37,1887.01
15654.48,1866.597
15604.61,1938
15902.85,2027.189
16027.63,2100.295
16279.6,2177.095
16502.72,2236.742
16695.94,2304.5
16956.46,2394.979
17220.49,2495.44
17331.55,2005.005
17657.16,2345.133
17896.19,2711.932
18039.27,2821.062
18243.18,2917.18
18653.99,2990.856
18904.74,3062.691
19207.05,3190.121
19471.78,3242.674
19793.14,3354.377
20106.25,3454.867
20270.73,3566.451
20577.41,3685.503
20901.13,3757.128
21242.43,3902.202
21388.25,3963.524
21682.45,4091.424
21993.63,4206.472
22294.84,4350.962
22599.75,4465.864
22880.19,4566.105
23206.57,4690.833
23551.54,4754.694
23857.18,4924.093
24210.86,5080.333
24599.36,5215.385
24917.21,5359.375
25238.77,5479.435
25579.61,5656.035
25751.56,5742.07
26130.24,3654.909
26513.77,3420.801
26788.46,3353.02
18514.37,3452.908
11641.03,3569.374
6124.655,3684.237
4897.463,3807.072
4030.665,3862.149
3212.463,4000.02
3143.435,4141.805
3123.748,4265.689
3216.221,4211.708
3305.843,3830.128
3406.379,4398.643
3509.452,4778.748
3510.089,4910.334
3756.648,4989.366
3814.527,5131.505
3927.474,5251.161
3365.675,5405.223
3851.529,5555.995
4316.096,5750.51
